Station,StationRus,Line,YearBuilt,Elevator,MapID,Latitude,Longitude
Malinauka,Малиновка,Maskouskaja,2014,Y,110,53.848379,27.474202
Piatrouscyna,Петровщина,Maskouskaja,2012,Y,111,53.864788,27.485843
Michalova,Михалово,Maskouskaja,2012,Y,112,53.876945,27.497036
Hrusauka,Грушевка,Maskouskaja,2012,Y,113,53.886562,27.514768
Instytut Kultury,Институт Культуры,Maskouskaja,1984,N,114,53.886053,27.540352
Plosca Lienina,Площадь Ленина,Maskouskaja,1984,N,115,53.893524,27.548114
Kastrycnickaja,Октябрьская,Maskouskaja,1984,N,116,53.902263,27.56193
Plosca Pieramohi,Площадь Победы,Maskouskaja,1984,N,117,53.90927,27.57527
Plosca Jakuba Kolasa,Площадь Якуба Коласа,Maskouskaja,1984,N,118,53.915926,27.583759
Akademija navuk,Академия Наук,Maskouskaja,1984,N,119,53.922401,27.600198
Park Caliuskincau,Парк Челюскинцев,Maskouskaja,1984,N,120,53.924288,27.613143
Maskouskaja,Московская,Maskouskaja,1984,N,121,53.928084,27.627462
Uschod,Восток,Maskouskaja,1986,N,122,53.934605,27.651097
Barysauski trakt,Борисовский тракт,Maskouskaja,2007,N,123,53.93885,27.666206
Urucca,Уручье,Maskouskaja,2007,Y,124,53.945565,27.687676
Kamiennaja Horka,Каменная Горка,Autazavodskaja,2005,Y,223,53.906602,27.437415
Kuncauscyna,Кунцевщина,Autazavodskaja,2005,Y,222,53.906007,27.45423
Spartyunaja,Cпортивная,Autazavodskaja,2005,Y,221,53.908315,27.480758
Puskinskaja,Пушкинская,Autazavodskaja,1995,N,220,53.909429,27.497251
Maladzioznaja,Молодежная,Autazavodskaja,1995,N,219,53.906527,27.523617
Frunzienskaja,Фрунзенская,Autazavodskaja,1990,N,218,53.905408,27.539319
Niamiha,Немига,Autazavodskaja,1990,N,217,53.905732,27.554016
Kupalauskaja,Купаловская,Autazavodskaja,1990,N,216,53.900798,27.561714
Piersamajskaja,Первомайская,Autazavodskaja,1990,N,215,53.89379,27.570949
Pralietarskaja,Пролетарская,Autazavodskaja,1990,N,214,53.890372,27.586841
Traktarny zavod,Тракторный завод,Autazavodskaja,1990,N,213,53.890123,27.614347
Partyzanskaja,Партизанская,Autazavodskaja,1997,N,212,53.875353,27.629627
Autazavodskaja,Автозаводская,Autazavodskaja,1997,N,211,53.868918,27.648105
Mahiliouskaja,Могилевская,Autazavodskaja,2001,Y,210,53.861798,27.673986
